Country,Region,Average Salary,Life satisfaction,Work-life balance
Australia,Oceania,31070,7.3,5.2
Austria,Europe,27935,6.9,6
Belgium,Europe,29214,6.9,8.8
Brazil,South America,6128,6,6.7
Canada,North America,29257,7.3,6.1
Chile,South America,7442,6.7,5
Czech Republic,Europe,12869,6.5,7.1
Denmark,Europe,30123,7.5,9.8
Estonia,Europe,12768,5.6,7.4
Finland,Europe,24749,7.4,7.4
France,Europe,24801,6.5,7.6
Germany,Europe,26650,7,8
Greece,Europe,16058,4.8,7.1
Hungary,Europe,12999,4.9,7.7
Iceland,Europe,21900,7.5,5.8
Ireland,Europe,32368,7,7.9
Israel,Europe,18002,7.4,5.1
Italy,Europe,21105,6,7.5
Japan,Asia,21669,5.9,5.1
Korea,Asia,22265,5.8,5
Luxembourg,Europe,37365,6.9,7.8
Mexico,North America,7806,6.7,2.4
Malaysia,Asia,1485,5.4,5
Netherlands,Europe,30982,7.3,8.8
New Zealand,Oceania,22550,7.3,6.1
Norway,Europe,31416,7.4,8.7
Poland,Europe,14365,5.8,5.6
Portugal,Europe,14565,5.1,6.7
Russia,Europe,3603,7,7.9
Slovak Republic,Europe,13456,6.1,7.1
Slovenia,Europe,20087,5.7,6.6
Spain,Europe,21876,6.5,9.3
Sweden,Europe,24902,7.2,8.1
Switzerland,Europe,34674,7.5,7.2
Turkey,Europe,8079,5.6,0
United Kingdom,Europe,25306,6.8,6.1
United States,North America,34709,7.2,5.3