Germany,Software Engineers and Developers,66250
Germany,Electronics Engineers,73678
Germany,Mechanical Engineers,68558
Germany,Nurses,54238
Germany,Doctors and Medical Practitioners,74362
Germany,Civil Engineers,78416
Germany,Electrical Engineers,63941
Germany,Accountants,72633
Germany,IT Data Analysts,60966
Germany,Engineering Managers,115625
Canada,Software Engineers and Developers,103257
Canada,Electronics Engineers,71004
Canada,Mechanical Engineers,82025
Canada,Nurses,93403
Canada,Doctors and Medical Practitioners,155630
Canada,Civil Engineers,78114
Canada,Electrical Engineers,90884
Canada,Accountants,63280
Canada,IT Data Analysts,70321
Canada,Engineering Managers,159588
United States,Software Engineers and Developers,119007
United States,Electronics Engineers,100090
United States,Mechanical Engineers,89856
United States,Nurses,113228
United States,Doctors and Medical Practitioners,233984
United States,Civil Engineers,111666
United States,Electrical Engineers,105308
United States,Accountants,62226
United States,IT Data Analysts,77521
United States,Engineering Managers,187915
United Kingdom,Software Engineers and Developers,67282
United Kingdom,Electronics Engineers,55372
United Kingdom,Mechanical Engineers,48766
United Kingdom,Nurses,49414
United Kingdom,Doctors and Medical Practitioners,73150
United Kingdom,Civil Engineers,50405
United Kingdom,Electrical Engineers,52470
United Kingdom,Accountants,52603
United Kingdom,IT Data Analysts,46405
United Kingdom,Engineering Managers,100579
Australia,Software Engineers and Developers,121850
Australia,Electronics Engineers,85000
Australia,Mechanical Engineers,100011
Australia,Nurses,85000
Australia,Doctors and Medical Practitioners,180000
Australia,Civil Engineers,91250
Australia,Electrical Engineers,97000
Australia,Accountants,89500
Australia,IT Data Analysts,96000
Australia,Engineering Managers,194500
Japan,Software Engineers and Developers,89000
Japan,Electronics Engineers,85948
Japan,Mechanical Engineers,85948
Japan,Nurses,37084
Japan,Doctors and Medical Practitioners,80183
Japan,Civil Engineers,77627
Japan,Electrical Engineers,90079
Japan,Accountants,47595
Japan,IT Data Analysts,47782
Japan,Engineering Managers,96320
Switzerland,Software Engineers and Developers,118000
Switzerland,Electronics Engineers,102749
Switzerland,Mechanical Engineers,92282
Switzerland,Nurses,69552
Switzerland,Doctors and Medical Practitioners,138151
Switzerland,Civil Engineers,95048
Switzerland,Electrical Engineers,120000
Switzerland,Accountants,107000
Switzerland,IT Data Analysts,92598
Switzerland,Engineering Managers,138257
Netherlands,Software Engineers and Developers,112737
Netherlands,Electronics Engineers,85224
Netherlands,Mechanical Engineers,67546
Netherlands,Nurses,40436
Netherlands,Doctors and Medical Practitioners,92412
Netherlands,Civil Engineers,51991
Netherlands,Electrical Engineers,85224
Netherlands,Accountants,68474
Netherlands,IT Data Analysts,64263
Netherlands,Engineering Managers,131220
Sweden,Software Engineers and Developers,82692
Sweden,Electronics Engineers,50234
Sweden,Mechanical Engineers,68095
Sweden,Nurses,32519
Sweden,Doctors and Medical Practitioners,56172
Sweden,Civil Engineers,80490
Sweden,Electrical Engineers,82308
Sweden,Accountants,77256
Sweden,IT Data Analysts,66354
Sweden,Engineering Managers,180408
Denmark,Software Engineers and Developers,92064
Denmark,Electronics Engineers,315922
Denmark,Mechanical Engineers,43900
Denmark,Nurses,30491
Denmark,Doctors and Medical Practitioners,109344
Denmark,Civil Engineers,42012
Denmark,Electrical Engineers,45000
Denmark,Accountants,43125
Denmark,IT Data Analysts,61683
Denmark,Engineering Managers,65000